County,Organisation,Project Title,Amount Sought,Organisation Type ,Sport Type,Grant Category
Clare,DOOLIN BOXING CLUB,Doolin Boxing Club renovations on new premises,"?133,000",Sports Club,Boxing,Local
Clare,Doonbeg Football Club,Building for Participation: Doonbeg GAA,"?200,000",Sports Club,Gaelic Games,Local
Clare,East Clare Golf Club,ECGC 2024 Drainage & Development,"?188,100",Sports Club,Golf,Local
Clare,Eire Og Inis,Universal Access Gymnasium Equipment,"?40,000",Sports Club,Gaelic Games,Local
Clare,Ennis Boxing Club,To purchase gym equipment,"?13,842",Sports Club,Boxing,Local
Clare,Ennis Golf Club,Machinery Project to ensure Course Play-ability,"?80,756",Sports Club,Golf,Local
Clare,ENNIS GYMNASTICS CLUB,Ennis Gymnastics Equiment Upgrade.,"?21,000",Sports Club,Gymnastics,Local
Clare,Ennis RFC,Purchase of equipment,"?36,540",Sports Club,Rugby,Local
Clare,Ennis Town Football Club,PROVISION OF A 20FT STORAGE CONTAINER AND KIT,"?10,000",Sports Club,Soccer,Local
Clare,Ennistymon GAA Club,Refurbishment & Retrofit of Facilities,"?200,000",Sports Club,Gaelic Games,Local
Clare,Ennistymon Parish Project Community Centre Ltd.,Full replacement of dilapidated roof.,"?200,000",Community Group,Multi-sport,Local
Clare,Feakle GAA Club,Feakle GAA Club-Clubhouse Development (Phase 1),"?200,000",Sports Club,Gaelic Games,Local
Clare,Fern Celtic,Replace dressing rooms and erect dugouts.,"?22,000",Sports Club,Soccer,Local
Clare,Inagh Kilnamona Hurling Club,"Walkway, fencing, Goal Posts and Ball Stop Nets.","?174,555",Sports Club,Gaelic Games,Local
Clare,Irish Aerial Creation Centre,IACC post-renovation upgrade and fitout,"?94,939",Sports Club,Multi-sport,Local
Clare,Kilfenora Boxing Club,Purchase of Ring and boxing equipment,"?30,000",Sports Club,Boxing,Local
Clare,Kilfenora National School,Kilfenora Multi Use Games Area Improvements,"?65,000",School (primary or second level),Gaelic Games,Local
Clare,Kilkee Golf Club,Showers/Toilets c/w disability access + Mower,"?79,489",Sports Club,Golf,Local
Clare,Kilkee Sub Aqua Club,Centre of Excellence for Scuba Diving/Snorkelling,"?500,000",Sports Club,Diving/Snorkelling,Non-Local
Clare,Kilkishen N.S.,"Grass Training Pitch ,Sprint Track and Lighting.","?167,688",School (primary or second level),Multi-sport,Local
Clare,Killaloe Ballina Tennis club,Tennis Courts Floodlighting Upgrade,"?35,611",Sports Club,Tennis,Local
Clare,Killaloe Sailing Club Company Ltd by Guarantee,Replacement Slipway & Jetty,"?52,122",Sports Club,Sailing,Local
Clare,Killanena GAA Club,Killanena GAA ? Multi Purpose Fitness Room,"?199,941",Sports Club,Gaelic Games,Local
Clare,Killimer GAA Club,Upgrading the condition of the main pitch.,"?43,000",Sports Club,Gaelic Games,Local
Clare,Kilmaley GAA Club,LED floodlighting of one playing pitch,"?170,000",Sports Club,Gaelic Games,Local
Clare,Kilmaley Meitheal Company Ltd,Replace lighting on Astroturf Facility to LED,"?15,000",Community Group,Multi-sport,Local
Clare,Kilmihil Athletics Club,Purchase of High Jump Equipment,"?4,736",Sports Club,Athletics,Local
Clare,Kilmihil GAA,Kilmihil GAA Club Facilities,"?63,543",Sports Club,Gaelic Games,Local
Clare,Kilmihil People's Park Ltd,"Toilet Block, Changing Rooms, Dugouts","?75,173",Community Group,Multi-sport,Local
Clare,Kilmurry Ibrickane Community Centre Committee Ltd,To reduce our carbon footprint/gender friendly,"?34,500",Community Group,Multi-sport,Local
Clare,Kilmurry Ibrickane GAA,Upgrade of Training facility Lights and Nets,"?65,934",Sports Club,Gaelic Games,Local
Clare,KILMURRY MCMAHON COMMUNITY CENTRE COMMITTEE,Multi-use games area/floodlights/CCTV/Fencing,"?76,000",Community Group,Multi-sport,Local
Clare,Kilmurry McMahon National School,Upgrade astroturf fencing at Kilmurry McMahon N.S.,"?17,728",School (primary or second level),Gaelic Games,Local
Clare,Kilrush Rugby Club,Solar lighting for a 600m Perimeter Walkway,"?48,157",Sports Club,Rugby,Local
Clare,Kilrush Shamrocks GAA Club,Kilrush Shamrocks GAA Site Security Fencing.,"?45,506",Sports Club,Gaelic Games,Local
Clare,Lifford Oldtown FC,Upgrade of equipment & New ball stops,"?36,215",Sports Club,Soccer,Local
Clare,Limerick & Clare Education & Training Board,Sports Pitch Development-Scariff Community College,"?200,000",Education & Training Board,Multi-sport,Local
Clare,Limerick & Clare Education & Training Board,Astro Turf Development at Ennis Community College,"?200,000",Education & Training Board,Multi-sport,Local
Clare,Lisdoonvarna Failte,"Pump Track, LED Lighting ,Netting, Mower","?175,000",Community Group,Multi-sport,Local
Clare,Lissycasey GAA club,Floodlights and Pitch Netting upgrade.,"?177,290",Sports Club,Gaelic Games,Local
Clare,Michael Cusacks GAA Club,Multi-purpose Fitness room/dressing room refurb,"?200,000",Sports Club,Gaelic Games,Local
Clare,Miltown Malbay Development Company Limited by Guarantee,Miltown Malbay Community Centre Upgrades,"?29,895",Community Group,Multi-sport,Local
Clare,Mountshannon Celtic Football Club,Mountshannon CelticFC equipment & facility upgrade,"?62,315",Sports Club,Soccer,Local
Clare,Moy GAA Club,Moy GAA Field upgrade/Walking track/Solar lighting,"?182,907",Sports Club,Gaelic Games,Local
